id;name;score;day;month;year;hour;minute;device;expcode
6;teste;255;16;7;2021;20;1;5;
7;teste;90;16;7;2021;20;3;5;
8;;400;22;7;2021;18;28;454;
9;test;765;22;7;2021;18;59;9;
10;Bob;400;6;8;2021;12;10;10;
11;Nicholas;0;11;8;2021;22;7;11;
12;teste;2210;11;8;2021;22;44;11;
13;k;390;11;8;2021;22;46;11;
14;;205;1;9;2021;20;1;454;
15;teste;1520;15;9;2021;20;15;11;
16;teste;420;15;9;2021;20;53;11;
17;teste;400;15;9;2021;22;27;11;
18;teste;400;15;9;2021;22;28;11;
19;teste;100;15;9;2021;22;29;11;
20;teste;515;1;10;2021;17;15;11;
21;teste;400;1;10;2021;17;20;11;
22;teste;400;13;10;2021;22;45;11;
23;Vinicius Tavares;25;21;10;2021;19;54;23;
24;Vinicius Tavares;130;21;10;2021;19;56;23;
25;Vinicius Tavares;100;21;10;2021;19;57;23;
26;teste;400;3;12;2021;3;22;11;
27;teste;400;3;12;2021;3;22;0;
28;teste;435;3;12;2021;3;23;11;
29;teste;400;8;12;2021;2;14;11;
30;teste;400;8;12;2021;2;27;11;
31;teste;400;8;12;2021;2;45;11;
32;a;400;8;12;2021;2;46;11;
33;a;400;8;12;2021;2;46;0;
34;teste;400;8;12;2021;3;39;11;
35;teste;400;8;12;2021;3;40;11;
36;a;400;8;12;2021;3;58;11;
37;a;400;8;12;2021;3;59;11;
38;q;400;8;12;2021;6;22;11;
39;a;340;8;12;2021;6;36;11;
40;a;510;8;12;2021;6;40;11;
41;a;205;8;12;2021;20;11;11;
42;a;355;8;12;2021;20;14;11;
43;a;400;8;12;2021;20;53;11;
44;a;400;8;12;2021;20;58;11;
45;a;845;8;12;2021;21;33;11;
46;teste;590;25;1;2022;21;25;11;
47;Falconn;240;16;3;2022;15;9;47;
48;teste2303;920;23;3;2022;18;14;48;
49;teste2303;975;23;3;2022;18;17;48;
50;Flavio Teste;940;23;3;2022;18;25;48;
51;Teste2022-03;400;30;3;2022;16;6;51;
52;Teste2022-03;2125;30;3;2022;16;11;51;
53;Teste2022-03;3400;30;3;2022;16;25;51;
54;Teste2022-03;8420;30;3;2022;16;47;51;
55;Teste2022-03;780;30;3;2022;17;23;48;
56;Teste2022-03;445;30;3;2022;17;27;48;
57;Teste2022-03;7520;30;3;2022;17;28;48;
58;teste-joel;15;30;3;2022;18;27;58;
59;Teste2022-03;1125;30;3;2022;19;3;48;
60;foo;400;31;3;2022;13;56;58;
61;foo;400;31;3;2022;13;59;58;
62;foo;9110;31;3;2022;14;0;58;
63;;400;31;3;2022;19;31;51;
64;;400;31;3;2022;19;38;51;
65;;400;31;3;2022;19;39;51;
66;;400;31;3;2022;19;41;51;
67;joel2020;400;31;3;2022;20;20;58;
68;Teste2022-03;400;31;3;2022;20;20;48;
69;Teste2022-03;400;31;3;2022;20;21;48;
70;blobs;2345;31;3;2022;20;24;58;
71;;250;7;4;2022;20;11;51;
72;;5585;7;4;2022;20;15;51;
73;0022;9085;7;4;2022;20;32;51;
74;8abril;2135;8;4;2022;14;2;58;
75;;3875;8;4;2022;19;50;51;
76;0044;6255;11;4;2022;16;15;58;
77;TesteQueryParam;705;13;4;2022;14;35;51;9999zzzz
78;TesteQueryParamServidor;690;13;4;2022;14;41;48;
79;TesteQueryParamServidor;690;13;4;2022;14;55;48;8843bade
80;Leo;20;18;4;2022;8;15;80;
81;0011;10535;18;4;2022;8;18;80;
82;53018ad1;16345;18;4;2022;9;1;80;
83;Dudu;165;2;5;2022;16;53;83;8843bade
84;Dudu;1805;2;5;2022;16;58;83;
85;Teste;400;12;5;2022;17;42;51;
86;;325;12;5;2022;18;5;51;
87;;400;12;5;2022;18;9;51;
88;;2230;12;5;2022;18;11;51;
89;Teste;660;12;5;2022;19;0;51;
90;;400;12;5;2022;19;10;51;
