KEY;GROUP;Atractividade;Transparência;Eficiência;Controlo;Estimulação;Inovação
95609edc;4;1,83;2;1;0,75;2,75;0,75
1c8481c5;3;0,33;0,25;0;-0,5;0;0,25
2c313a49;1;1,83;3;2,5;2;1,5;1,5
a7a3a7ce;4;2,67;2,75;2,75;2;2,75;-0,25
6d519978;1;0,33;0,5;1;1;0;-0,5
95350bff;2;0,83;1,5;0,75;1,5;0,5;0,5
eb6afc4b;2;3;3;3;1,5;3;3
63bbc8d0;3;1,67;2;0,25;1,25;2,5;2,25
facb93c1;1;2,17;0,5;0,75;2;2;1
dd9b8455;4;1,83;2,25;1,25;2,5;2,5;-1
4c649212;4;2,33;2,75;1,5;2,5;1,5;1,5
fe3b0ae9;2;3;3;3;1,5;3;3
6a733d5e;3;2,5;1,25;1,75;1,75;2;1,75
f16c8140;3;0,83;1;0,5;1,75;1,75;-0,5
7d2e1db1;3;2;2,25;2,75;1,25;3;2,75
41582dea;4;2,17;1,75;2,75;0,25;3;2,75
81765813;4;1,5;0,75;2;0,75;2,75;2,25
8d8806d1;1;-0,67;-0,5;1,5;2,5;0,25;-0,5
67f7c5a9;3;1,33;0;2;0,5;0,75;0,25
57ded246;1;2,33;2,75;2,75;0,5;1;0,5
7f45bbc0;3;-1,83;-0,25;-1,75;-0,25;-3;-1,75
c5628676;4;2,67;1,5;2,5;1,5;-1;-0,5
bd81d861;2;1,5;1,5;1;2,25;1;0,25
c727dacb;2;2,83;1,5;2,75;1;2,75;2,25
dad336c3;1;0,33;-0,5;0;0;-0,5;-0,25
cecddd3f;2;2,83;2,5;2,5;1,5;1,5;1,5
b64109c1;1;2,33;2,25;2;1,75;1,5;1,5
635460f1;4;1,67;2,5;0,25;0,75;1,25;-0,25
cfed2631;2;2,67;1;1,75;1,75;0,75;-0,25
